"Sample_ID","n_seqs","NAME","ID","Source","Spiking_level","Treatment","Sampling_date","Sample_type","Species","Sample ID","Study ID","date sample was taken YYYY-MM-DD","Study Name","Sample Type","Date Received YYYY-MM-DD","Illumina Plate Number","GPrep Plate #:","Notebook Reference","pot_ID","type","treat","treat.rn","timepoint","species","species_tp","resp_norm_plant_height4","resp_norm_chlorophyll_content4_mean","resp_norm_leaf_number2","resp_norm_wet_shoot_weight","resp_norm_dry_shoot_weight","resp_norm_wet_root_weight","resp_norm_dry_root_weight","resp_norm_dry_total_weight","resp_norm_shoot_root_ratio","resp_norm_shoot_moisture","response_plant_height4","response_chlorophyll_content4_mean","response_leaf_number2","response_wet_shoot_weight","response_dry_shoot_weight","response_wet_root_weight","response_dry_root_weight","response_dry_total_weight","response_shoot_root_ratio","response_shoot_moisture"
"RD126",145995,"RD126",1385266,"BS","SL1","SL1-BS","2024-07-11","Soil","L","45-SL1-BS-L","RD126","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","45-SL1-BS-L","Soil","SL1-BS","BS-1","TP1","L","L_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD127",160753,"RD127",1385267,"BS","SL2","SL2-BS","2024-07-11","Soil","L","52-SL2-BS-L","RD127","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","52-SL2-BS-L","Soil","SL2-BS","BS-2","TP1","L","L_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD128",129398,"RD128",1385268,"BS","SL2","SL2-BS","2024-07-11","Soil","L","53-SL2-BS-L","RD128","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","53-SL2-BS-L","Soil","SL2-BS","BS-2","TP1","L","L_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD129",144628,"RD129",1385269,"BS","SL2","SL2-BS","2024-07-11","Soil","L","54-SL2-BS-L","RD129","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","54-SL2-BS-L","Soil","SL2-BS","BS-2","TP1","L","L_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD13",36293,"RD13",1385153,"BS","SL2","SL2-BS","2024-08-26","Soil","P","46-SL2-BS-P","RD13","2024-08-26","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","46-SL2-BS-P","Soil","SL2-BS","BS-2","TP2","P","P_TP2",0.14354389929316,-0.0605771708700853,-0.14036728779701,0.141781406690919,0.097679993535545,0.243819306041001,0.0595733284085181,0.0826356540395708,0.013556455178412,0.047938901718779,16.0803252328961,0.688917099426896,8.14325284978474,1271.3538611233,142.305662178992,445.754309463985,51.7728216922137,194.694454825164,2.74865571409242,7.93323529986556
"RD130",167693,"RD130",1385270,"C",NA,"C","2024-07-11","Soil","L","61-C-L","RD130","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","61-C-L","Soil","C","control-0","TP1","L","L_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD131",165795,"RD131",1385271,"C",NA,"C","2024-07-11","Soil","L","62-C-L","RD131","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","62-C-L","Soil","C","control-0","TP1","L","L_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD132",145697,"RD132",1385272,"C",NA,"C","2024-07-11","Soil","L","63-C-L","RD132","2024-07-11","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","63-C-L","Soil","C","control-0","TP1","L","L_TP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD139",98666,"RD139",1385279,NA,NA,NA,"2024-08-02","Soil",NA,"Garden Soil","RD139","2024-08-02","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","Garden Soil","Soil","Garden Soil","Garden Soil","other","no_plant","no_plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD14",33512,"RD14",1385154,"BS","SL2","SL2-BS","2024-08-26","Soil","P","47-SL2-BS-P","RD14","2024-08-26","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","47-SL2-BS-P","Soil","SL2-BS","BS-2","TP2","P","P_TP2",-1.13912173622515,0.0308725049748445,-0.840212512313982,-1.4540166352955,-1.45343517705133,-1.59921729623748,-0.860883503095423,-1.19858917535184,-0.617101883904519,-0.00908070894124593,6.60958204142154,0.734,5.01329793496459,420.61365593004,48.5612645563794,124.247096942132,27.3537402961735,80.1062639953777,1.77530619325111,7.62580547063492
"RD140",51658,"RD140",1385280,NA,NA,NA,"2024-08-02","Soil",NA,"Garden Soil","RD140","2024-08-02","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","Garden Soil","Soil","Garden Soil","Garden Soil","other","no_plant","no_plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD141",65707,"RD141",1385281,NA,NA,NA,"2024-08-02","Soil",NA,"Garden Soil","RD141","2024-08-02","Fate of Contaminants","Soil","2024-12-09","LR527","543","MF Notebook # 13 p.80","Garden Soil","Soil","Garden Soil","Garden Soil","other","no_plant","no_plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD142",56380,"RD142",1385282,"BS","US",NA,"2024-06-12","Biosolids",NA,"Biosolids","RD142","2024-06-12","Fate of Contaminants","Biosolids","2024-12-09","LR527","543","MF Notebook # 13 p.80","Biosolids","Biosolids","Biosolids","Biosolids","other","no_plant","no_plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD143",33762,"RD143",1385283,"BS","US",NA,"2024-06-12","Biosolids",NA,"Biosolids","RD143","2024-06-12","Fate of Contaminants","Biosolids","2024-12-09","LR527","543","MF Notebook # 13 p.80","Biosolids","Biosolids","Biosolids","Biosolids","other","no_plant","no_plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD144",45298,"RD144",1385284,"BS","US",NA,"2024-06-12","Biosolids",NA,"Biosolids","RD144","2024-06-12","Fate of Contaminants","Biosolids","2024-12-09","LR527","543","MF Notebook # 13 p.80","Biosolids","Biosolids","Biosolids","Biosolids","other","no_plant","no_plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD15",58517,"RD15",1385155,"BS","SL2","SL2-BS","2024-08-26","Soil","P","48-SL2-BS-P","RD15","2024-08-26","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","48-SL2-BS-P","Soil","SL2-BS","BS-2","TP2","P","P_TP2",-0.109453400872241,0.0211059579926574,-0.109330819666517,-0.085934973914275,-0.113148077190631,-0.210977204677029,0.174249487394287,-0.0296420991147673,-0.311947774533533,0.0270335701404076,13.4938243358262,0.729047854662506,8.32033529220763,1085.71786816613,122.95794814705,325.228172575825,56.056089635163,180.11696102124,2.19348065388278,7.8191078559405
"RD16",16706,"RD16",1385156,"RW","US","US-RW","2024-08-19","Soil","P","1-US-RW-P","RD16","2024-08-19","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","1-US-RW-P","Soil","US-RW","RW-0","TP2","P","P_TP2",-0.49417262940024,0.0154443552998419,-0.173545845647315,-0.581905625775592,-0.783220746536482,-0.907324484253931,-0.370226650109403,-0.650522224148636,-0.437544306375694,0.223796474079806,10.3352985047272,0.726192441158464,7.9581144157928,769.86564904341,77.2760001294703,200.708950642215,38.4343153904194,117.125395254459,2.01059910510941,8.96166571351995
"RD17",19655,"RD17",1385157,"RW","US","US-RW","2024-08-19","Soil","P","2-US-RW-P","RD17","2024-08-19","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","2-US-RW-P","Soil","US-RW","RW-0","TP2","P","P_TP2",-0.373969775049766,-0.114017114516581,-0.187093173813098,-0.305103802780007,-0.335416815741745,-0.0209978074882496,0.0701563278686048,-0.215521331624136,-0.430123353558965,0.0322306912635149,11.2333085808277,0.663865253476418,7.88373516310525,932.697029646826,105.401562711247,371.003200399591,52.154001550435,158.343188626321,2.02096789465557,7.8473259698879
"RD18",16373,"RD18",1385158,"RW","US","US-RW","2024-08-19","Soil","P","3-US-RW-P","RD18","2024-08-19","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","3-US-RW-P","Soil","US-RW","RW-0","TP2","P","P_TP2",0.00592999797865121,-0.0286279315091736,-0.116904178499878,-0.14207318301841,0.0224576121521277,1.11037979769914,0.562576693261065,0.184453816103623,-0.564669291057552,-0.189933755593402,14.6173590982546,0.704343715195551,8.27677252914337,1044.28177920488,135.07593653749,812.748640257797,73.3704083236176,208.931490865564,1.84101383137606,6.72734237252553
"RD19",21331,"RD19",1385159,"RW","SL1","SL1-RW","2024-08-19","Soil","P","10-SL1-RW-P","RD19","2024-08-19","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","10-SL1-RW-P","Soil","SL1-RW","RW-1","TP2","P","P_TP2",0.222115165904588,0.0137262097619635,0.105287910258392,0.257282544861165,0.276667410031473,0.144523550987352,0.159580478544737,0.247950979227761,0.0925367215381223,-0.0242913141822753,16.9803694975511,0.725328113217287,9.65489384605631,1377.32285286775,161.102678737775,416.10654777829,55.489011378566,218.332533351121,2.90332580695435,7.54582752099665
"RD2",53224,"RD2",1385142,NA,NA,NA,"2024-09-01","Soil",NA,"S2","RD2","2024-09-01","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","S2","Soil","GH: Soil only","GH: Soil only","other","no_plant","no_plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RD20",13136,"RD20",1385160,"RW","SL1","SL1-RW","2024-08-19","Soil","P","11-SL1-RW-P","RD20","2024-08-19","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","11-SL1-RW-P","Soil","SL1-RW","RW-1","TP2","P","P_TP2",-0.879919210003975,-0.0283420352001226,-0.961069205442213,-1.18504811538063,-1.41198056862273,-2.1643985393084,-0.986362748017107,-1.29238643271071,-0.450168030554252,0.251009921864712,7.91045989346518,0.704483307567177,4.61043629205847,506.816751673874,49.9768717032877,83.9749478863571,25.0751594160493,75.0638247810011,1.99308291022468,9.13231333500909
"RD21",12162,"RD21",1385161,"RW","SL1","SL1-RW","2024-08-19","Soil","P","12-SL1-RW-P","RD21","2024-08-19","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","12-SL1-RW-P","Soil","SL1-RW","RW-1","TP2","P","P_TP2",0.0235785842643664,-0.00598470450847716,-0.0526891525190795,-0.158235906959078,0.173414155237996,-0.0404418286994757,0.166594296968761,0.166527246362499,-0.0177303516793799,-0.382852771854418,14.7972724459828,0.715485660651737,8.65349742184446,1032.64782752854,149.975540189446,366.036523901442,55.7594340379502,206.351422964575,2.68968906835337,5.88530697028229
"RD22",19225,"RD22",1385162,"RW","SL2","SL2-RW","2024-08-19","Soil","P","19-SL2-RW-P","RD22","2024-08-19","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","19-SL2-RW-P","Soil","SL2-RW","RW-2","TP2","P","P_TP2",-0.658777500287893,0.057005494839615,-0.725329788518167,-0.660097892653944,-0.751809491215111,0.752224843646086,0.47886718287287,-0.172171278124658,-1.25522688403659,0.100813614301053,9.22087258411689,0.747416831493645,5.42883523318982,729.250481149143,78.9769512421688,634.075345946569,69.234388779419,163.173283444608,1.14071854514076,8.22938176943741
"RD23",68061,"RD23",1385163,"RW","SL2","SL2-RW","2024-08-19","Soil","P","20-SL2-RW-P","RD23","2024-08-19","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","20-SL2-RW-P","Soil","SL2-RW","RW-2","TP2","P","P_TP2",0.085990576238643,-0.00934766623426166,-0.00202145470406307,0.109743357172086,0.088678713669297,0.492584836983084,0.205409000833755,0.120985999348963,-0.141280497113073,0.0214250296624969,15.4514610600415,0.713819786298596,8.96280949311434,1243.43197878705,141.420551086956,529.640805324846,57.2799654218864,199.939308918159,2.468935692355,7.78876973855045
"RD24",38203,"RD24",1385164,"RW","SL2","SL2-RW","2024-08-19","Soil","P","21-SL2-RW-P","RD24","2024-08-19","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","21-SL2-RW-P","Soil","SL2-RW","RW-2","TP2","P","P_TP2",0.132931870252492,-0.0577016412645455,-0.116904178499878,0.083077218358469,0.111433416734672,0.370097481359057,0.108998950407803,0.11028080733034,-0.0221157436217449,-0.0338986558261647,15.9624771753084,0.690291594384564,8.27677252914337,1220.66003215156,143.668769935874,486.529377777376,53.5772514292087,198.461195315432,2.68152557481793,7.49574452238984
"RD25",39197,"RD25",1385165,"C",NA,"C","2024-08-19","Soil","P","55-C-P","RD25","2024-08-19","Fate of Contaminants","Soil","2024-12-09","LR527","535","MF Notebook # 13 p.80","55-C-P","Soil","C","control-0","TP2","P","P_TP2",0.055865764015229,0.0108926579598122,-0.0526891525190803,0.143770545804194,0.164445066712378,-0.195661106806294,-0.22199856538461,0.0605796106814377,0.361893422148374,-0.0293642592819219,15.1321654002799,0.723904917244218,8.65349742184446,1273.10796978967,149.046049757564,328.699288314139,42.5931980146853,191.740586618952,3.49929229794332,7.51934074083935
