"spikeFac","emmean","SE","df","lower.CL","upper.CL","t.ratio","p.value","trait","amend"
"1",5.99269182635184,0.321916235712178,6,5.20499117411173,6.78039247859195,18.6156868201883,1.55044350072497e-06,"wet_root_weight","BS"
"2",5.56885574336744,0.321916235712178,6,4.78115509112733,6.35655639560755,17.2990831948796,2.39072031031578e-06,"wet_root_weight","BS"
"0",3.49646535569975,0.149635843429791,6,3.13031963705532,3.86261107434418,23.3664961252434,4.02977650336372e-07,"dry_root_weight","BS"
"1",3.87997830673131,0.149635843429791,6,3.51383258808688,4.24612402537574,25.9294712937665,2.16976219240363e-07,"dry_root_weight","BS"
"2",3.76069046671552,0.149635843429791,6,3.39454474807109,4.12683618535995,25.1322836862948,2.61295888155817e-07,"dry_root_weight","BS"
"0",5.08040227873904,0.172845182697371,6,4.65746535278352,5.50333920469455,29.3927907012263,1.02794081819106e-07,"dry_total_weight","BS"
"1",5.1498663730457,0.172845182697371,6,4.72692944709019,5.57280329900121,29.7946769049528,9.47963690750804e-08,"dry_total_weight","BS"
"2",4.94946396929735,0.172845182697371,6,4.52652704334184,5.37240089525287,28.6352439336606,1.20111945231351e-07,"dry_total_weight","BS"
"0",1.34082470029688,0.0811117518595808,6,1.14235139340454,1.53929800718922,16.5305848974645,3.12469030122466e-06,"shoot_root_ratio","BS"
"1",0.938578461507597,0.0811117518595808,6,0.740105154615259,1.13705176839994,11.5714238687934,2.50600657434236e-05,"shoot_root_ratio","BS"
"2",0.790191498016712,0.0811117518595808,6,0.591718191124373,0.98866480490905,9.74201000349095,6.72160283138613e-05,"shoot_root_ratio","BS"
"0",2.03531623213694,0.0966837462884909,6,1.79873962753053,2.27189283674334,21.0512760445156,7.48685017525721e-07,"shoot_moisture","BS"
"1",2.21267910030165,0.0966837462884909,6,1.97610249569525,2.44925570490805,22.8857402122103,4.55959874282763e-07,"shoot_moisture","BS"
"2",2.05305645010388,0.0966837462884909,6,1.81647984549748,2.28963305471029,21.234763121175,7.11127276793367e-07,"shoot_moisture","BS"
