"amend","species","response","SE","df","lower.CL","upper.CL","null","t.ratio","p.value","trait","rate","asymp.LCL","asymp.UCL","z.ratio"
"BS","radish",0.578906924764954,0.0871688626321953,18,0.421911488589035,0.794321170683397,1,-3.63017675109288,0.00191425762091672,"per_plant_weight",NA,NA,NA,NA
"control","pea",0.37578775982639,0.0565842110602958,18,0.273876794972291,0.515620319164403,1,-6.49995880831863,4.11498815074155e-06,"per_plant_weight",NA,NA,NA,NA
"RW","pea",0.370262199210587,0.0557522002245637,18,0.269849727053473,0.508038669007414,1,-6.59833584548683,3.38826269108765e-06,"per_plant_weight",NA,NA,NA,NA
"BS","pea",0.413220101957246,0.0622205829011246,18,0.301157752435731,0.566981428439224,1,-5.86933671390952,1.47440665267504e-05,"per_plant_weight",NA,NA,NA,NA
"control","lettuce",24.1039187216136,3.95443226056896,18,17.0764803246516,34.0233400965787,1,19.3979033003953,1.63159274092799e-13,"shoot_moisture",NA,NA,NA,NA
"RW","lettuce",18.163113507806,2.97979771825399,18,12.8677023032087,25.6377311600675,1,17.6730119421504,8.05481505589601e-13,"shoot_moisture",NA,NA,NA,NA
"BS","lettuce",21.5356252097085,3.53308406256908,18,15.2569664883121,30.3981236065717,1,18.7111576380606,3.03202635673945e-13,"shoot_moisture",NA,NA,NA,NA
"control","radish",21.1142859634141,3.46396013598131,18,14.9584676660896,29.8033917441606,1,18.5907202242017,3.38729438335710e-13,"shoot_moisture",NA,NA,NA,NA
"RW","radish",20.9063761419642,3.42985093926827,18,14.8111734432582,29.5099213484831,1,18.5304019138216,3.58145090901066e-13,"shoot_moisture",NA,NA,NA,NA
"BS","radish",36.6137485402126,6.00676554215014,18,25.9390999355654,51.6813068107986,1,21.9460891563088,1.92771934950324e-14,"shoot_moisture",NA,NA,NA,NA
"control","pea",10.593369027954,1.73792322800568,18,7.50489826433997,14.9528299265072,1,14.386578391089,2.58690630405479e-11,"shoot_moisture",NA,NA,NA,NA
"RW","pea",11.52224436263,1.89031233252899,18,8.16296227292898,16.263962849913,1,14.8989057192007,1.44337848692634e-11,"shoot_moisture",NA,NA,NA,NA
"BS","pea",8.00712287675932,1.31362976219317,18,5.67266583667332,11.3022727954519,1,12.6804907025228,2.06620257579271e-10,"shoot_moisture",NA,NA,NA,NA
"control","lettuce",9.48967207137335,2.81137754450981,18,5.09261847480298,17.6832166925066,1,7.59545747772765,5.09032411552834e-07,"shoot_root_ratio",NA,NA,NA,NA
"RW","lettuce",18.5653466189001,5.50010560932516,18,9.96306579104466,34.5949833423479,1,9.86069918316009,1.10780701073366e-08,"shoot_root_ratio",NA,NA,NA,NA
"BS","lettuce",22.4679360519716,6.65627330564372,18,12.0573846354633,41.8671350129063,1,10.5047101527989,4.16417948362519e-09,"shoot_root_ratio",NA,NA,NA,NA
"control","radish",4.54016569564583,1.34505384265035,18,2.43647320227858,8.46022214594516,1,5.10693683850934,7.37014302678498e-05,"shoot_root_ratio",NA,NA,NA,NA
"RW","radish",2.75370713556232,0.815803786142416,18,1.47777285951378,5.13130481428775,1,3.41915829437504,0.00305889161758775,"shoot_root_ratio",NA,NA,NA,NA
"BS","radish",6.20458721372068,1.83814962565746,18,3.3296825470332,11.5617335733605,1,6.16117641374968,8.11517805073904e-06,"shoot_root_ratio",NA,NA,NA,NA
"control","pea",18.6424062074599,5.52293501746874,18,10.0044197052167,34.7385774931773,1,9.87468075164855,1.08400374408891e-08,"shoot_root_ratio",NA,NA,NA,NA
"RW","pea",19.5142407197901,5.78122170557124,18,10.4722884061655,36.3631687841712,1,10.0289578552707,8.54207325713913e-09,"shoot_root_ratio",NA,NA,NA,NA
"BS","pea",30.2389968968837,8.95850101088871,18,16.2277129386931,56.3478622517082,1,11.5073652740885,9.88005489985278e-10,"shoot_root_ratio",NA,NA,NA,NA
"control","lettuce",72.5548974264465,21.2507341656613,18,39.212699181206,134.247660846699,1,14.6277347123813,1.96137306790566e-11,"germination_perc",NA,NA,NA,NA
"RW","lettuce",99.9999999999999,29.2891795308573,18,54.0455580148237,185.029082265321,1,15.723110922709,5.84817045841361e-12,"germination_perc",NA,NA,NA,NA
"BS","lettuce",40.5480133038226,11.8761804127525,18,21.9144000539759,75.0256168928832,1,12.6411420358155,2.173387082411e-10,"germination_perc",NA,NA,NA,NA
"control","radish",93.2169751786157,27.3024872132995,18,50.3796343998226,172.478513688484,1,15.4832942228322,7.57374307496073e-12,"germination_perc",NA,NA,NA,NA
"RW","radish",96.6382529781544,28.3045514102558,18,52.2286830778206,178.808872602718,1,15.6063595143752,6.62978821911715e-12,"germination_perc",NA,NA,NA,NA
"BS","radish",86.445854717479,25.3192815851866,18,46.7201445627454,159.949971640164,1,15.2258217278613,1.00359960568189e-11,"germination_perc",NA,NA,NA,NA
"control","pea",71.074576139939,20.8171602064227,18,38.4126512815008,131.508635955696,1,14.5573544983286,2.12554613692588e-11,"germination_perc",NA,NA,NA,NA
"RW","pea",87.9999999999999,25.7744779871545,18,47.5600910530449,162.825592393482,1,15.2866583707514,9.38672931862328e-12,"germination_perc",NA,NA,NA,NA
"BS","pea",29.5054041565428,8.64189079471488,18,15.9463603209326,54.593578529525,1,11.5557126984375,9.24056944528069e-10,"germination_perc",NA,NA,NA,NA
"control","lettuce",77.3999211789476,16.4079475858797,18,49.581261689063,120.826852613732,1,20.5151286255362,6.20682759705508e-14,"survival_perc.corr",NA,NA,NA,NA
"RW","lettuce",101,21.4109094806753,18,64.6991282977876,157.668275730832,1,21.7705451803286,2.21645563282738e-14,"survival_perc.corr",NA,NA,NA,NA
"BS","lettuce",74.7036801854527,15.8363736071688,18,47.8540889963909,116.617826193939,1,20.3478729132589,7.1507266448756e-14,"survival_perc.corr",NA,NA,NA,NA
"control","radish",76.0000000000002,16.1111794112012,18,48.6844925805134,118.641474807359,1,20.429027910454,6.67514924167696e-14,"survival_perc.corr",NA,NA,NA,NA
"RW","radish",76.0000000000001,16.1111794112012,18,48.6844925805134,118.641474807359,1,20.429027910454,6.67514924167699e-14,"survival_perc.corr",NA,NA,NA,NA
"BS","radish",76.0000000000002,16.1111794112012,18,48.6844925805134,118.641474807359,1,20.429027910454,6.67514924167699e-14,"survival_perc.corr",NA,NA,NA,NA
"control","pea",46.9864152680958,9.96061271412494,18,30.0988129671648,73.3491789910247,1,18.1606349409031,5.05854022573436e-13,"survival_perc.corr",NA,NA,NA,NA
"RW","pea",69.5922553808314,14.7528067377725,18,44.579784746701,108.638523862529,1,20.0135348039818,9.52038775518849e-14,"survival_perc.corr",NA,NA,NA,NA
"BS","pea",19.9029305390847,4.21920637794565,18,12.7495272915861,31.069908317703,1,14.1085816869521,3.5768972746447e-11,"survival_perc.corr",NA,NA,NA,NA
"control",NA,1.07037502550575,0.627112771365564,6,0.25522980204565,4.48890641313711,1,0.116079949459421,0.911376899799611,"dry_pod_weight.corr",NA,NA,NA,NA
"RW",NA,2.37292283590211,1.39025124876777,6,0.565820961107285,9.95149203049419,1,1.47491032195247,0.190682444338956,"dry_pod_weight.corr",NA,NA,NA,NA
"BS",NA,1.12059975198344,0.656538502218746,6,0.267205835390262,4.69953735221122,1,0.194346574881226,0.852317760529344,"dry_pod_weight.corr",NA,NA,NA,NA
"control",NA,0.141592870124026,0.0347856957501636,6,0.077619062712818,0.258294034599938,1,-7.95688166777714,0.000209656018929719,"per_pod_weight",NA,NA,NA,NA
"RW",NA,0.157497953052921,0.0386931621018311,6,0.0863379878128537,0.287308122927636,1,-7.52355699172786,0.000285602295189308,"per_pod_weight",NA,NA,NA,NA
"BS",NA,0.166294051049304,0.0408541352385631,6,0.0911598752526048,0.30335398482896,1,-7.30234865286524,0.00033636272584519,"per_pod_weight",NA,NA,NA,NA
"control",NA,0.710137108420485,0.0294777421575241,5,0.638264891738241,0.790102540940986,1,-8.24615245972255,0.000427505357439589,"NDVI_mean",NA,NA,NA,NA
"RW",NA,0.697096306695607,0.0289364193816613,5,0.626543935598344,0.775593271594886,1,-8.69265976896567,0.000333312015016327,"NDVI_mean",NA,NA,NA,NA
"BS",NA,0.721525478875602,0.0366816877443176,5,0.633133746231525,0.822257571587874,1,-6.42001431637381,0.00136104795882804,"NDVI_mean",NA,NA,NA,NA
"control",NA,NA,1.79505491724261,Inf,NA,NA,1,NA,2.51494003368015e-34,"pods",9.66666666666665,6.71757596616166,13.9104410452744,12.2172348909331
"RW",NA,NA,2.26077666104175,Inf,NA,NA,1,NA,1.53540091411205e-76,"pods",15.3333333333333,11.4850729047855,20.4710159926932,18.515958272779
"BS",NA,NA,1.76383415884005,Inf,NA,NA,1,NA,3.11148619477274e-32,"pods",9.33333333333334,6.44428604982469,13.5175736206621,11.8190594221033
"control",NA,NA,0.942809041582064,Inf,NA,NA,1,NA,0.00553369550673539,"flowers",2.66666666666667,1.33359371660163,5.3322920036188,2.77420406396291
"RW",NA,NA,1.2018504230018,Inf,NA,NA,1,NA,1.24370239518592e-07,"flowers",4.33333333333334,2.51617745349691,7.4628193459412,5.28695349811873
"BS",NA,NA,0.745355992499911,Inf,NA,NA,1,NA,0.253353933026602,"flowers",1.66666666666667,0.693713022106227,4.00421743467347,1.14224081938952
