NAME,ID,Sample_ID,Source,Spiking_level,Treatment,Sampling_date,Sample_type,Species
RD88,1385228,55-C-P,C,NA,C,2024-07-11,Soil,P
RD89,1385229,56-C-P,C,NA,C,2024-07-11,Soil,P
RD90,1385230,57-C-P,C,NA,C,2024-07-11,Soil,P
RD91,1385231,4-US-RW-R,RW,US,US-RW,2024-07-11,Soil,R
RD92,1385232,5-US-RW-R,RW,US,US-RW,2024-07-11,Soil,R
RD93,1385233,6-US-RW-R,RW,US,US-RW,2024-07-11,Soil,R
RD94,1385234,13-SL1-RW-R,RW,SL1,SL1-RW,2024-07-11,Soil,R
RD95,1385235,14-SL1-RW-R,RW,SL1,SL1-RW,2024-07-11,Soil,R
RD96,1385236,15-SL1-RW-R,RW,SL1,SL1-RW,2024-07-11,Soil,R
RD97,1385237,22-SL2-RW-R,RW,SL2,SL2-RW,2024-07-11,Soil,R
RD98,1385238,23-SL2-RW-R,RW,SL2,SL2-RW,2024-07-11,Soil,R
RD99,1385239,24-SL2-RW-R,RW,SL2,SL2-RW,2024-07-11,Soil,R
RD100,1385240,31-US-BS-R,BS,US,US-BS,2024-07-11,Soil,R
RD101,1385241,32-US-BS-R,BS,US,US-BS,2024-07-11,Soil,R
RD102,1385242,33-US-BS-R,BS,US,US-BS,2024-07-11,Soil,R
RD103,1385243,40-SL1-BS-R,BS,SL1,SL1-BS,2024-07-11,Soil,R
RD104,1385244,41-SL1-BS-R,BS,SL1,SL1-BS,2024-07-11,Soil,R
RD105,1385245,42-SL1-BS-R,BS,SL1,SL1-BS,2024-07-11,Soil,R
RD106,1385246,49-SL2-BS-R,BS,SL2,SL2-BS,2024-07-11,Soil,R
RD107,1385247,50-SL2-BS-R,BS,SL2,SL2-BS,2024-07-11,Soil,R
RD108,1385248,51-SL2-BS-R,BS,SL2,SL2-BS,2024-07-11,Soil,R
RD109,1385249,58-C-R,C,NA,C,2024-07-11,Soil,R
RD110,1385250,59-C-R,C,NA,C,2024-07-11,Soil,R
RD111,1385251,60-C-R,C,NA,C,2024-07-11,Soil,R
RD112,1385252,7-US-RW-L,RW,US,US-RW,2024-07-11,Soil,L
RD113,1385253,8-US-RW-L,RW,US,US-RW,2024-07-11,Soil,L
RD114,1385254,9-US-RW-L,RW,US,US-RW,2024-07-11,Soil,L
RD115,1385255,16-SL1-RW-L,RW,SL1,SL1-RW,2024-07-11,Soil,L
RD116,1385256,17-SL1-RW-L,RW,SL1,SL1-RW,2024-07-11,Soil,L
RD117,1385257,18-SL1-RW-L,RW,SL1,SL1-RW,2024-07-11,Soil,L
RD118,1385258,25-SL2-RW-L,RW,SL2,SL2-RW,2024-07-11,Soil,L
RD119,1385259,26-SL2-RW-L,RW,SL2,SL2-RW,2024-07-11,Soil,L
RD120,1385260,27-SL2-RW-L,RW,SL2,SL2-RW,2024-07-11,Soil,L
RD121,1385261,34-US-BS-L,BS,US,US-BS,2024-07-11,Soil,L
RD122,1385262,35-US-BS-L,BS,US,US-BS,2024-07-11,Soil,L
RD123,1385263,36-US-BS-L,BS,US,US-BS,2024-07-11,Soil,L
RD124,1385264,43-SL1-BS-L,BS,SL1,SL1-BS,2024-07-11,Soil,L
RD125,1385265,44-SL1-BS-L,BS,SL1,SL1-BS,2024-07-11,Soil,L
RD126,1385266,45-SL1-BS-L,BS,SL1,SL1-BS,2024-07-11,Soil,L
RD127,1385267,52-SL2-BS-L,BS,SL2,SL2-BS,2024-07-11,Soil,L
RD128,1385268,53-SL2-BS-L,BS,SL2,SL2-BS,2024-07-11,Soil,L
RD129,1385269,54-SL2-BS-L,BS,SL2,SL2-BS,2024-07-11,Soil,L
RD130,1385270,61-C-L,C,NA,C,2024-07-11,Soil,L
RD131,1385271,62-C-L,C,NA,C,2024-07-11,Soil,L
RD132,1385272,63-C-L,C,NA,C,2024-07-11,Soil,L
RD133,1385273,Autoclaved Soil,NA,NA,NA,2024-07-02,Soil,NA
RD134,1385274,Autoclaved Soil,NA,NA,NA,2024-07-02,Soil,NA
RD135,1385275,Autoclaved Soil,NA,NA,NA,2024-07-02,Soil,NA
RD136,1385276,Autoclaved soil w bs,NA,NA,NA,2024-07-02,Soil,NA
RD137,1385277,Autoclaved soil w bs,NA,NA,NA,2024-07-02,Soil,NA
RD138,1385278,Autoclaved soil w bs,NA,NA,NA,2024-07-02,Soil,NA
RD139,1385279,Garden Soil,NA,NA,NA,2024-08-02,Soil,NA
RD140,1385280,Garden Soil,NA,NA,NA,2024-08-02,Soil,NA
RD141,1385281,Garden Soil,NA,NA,NA,2024-08-02,Soil,NA
RD142,1385282,Biosolids,BS,US,NA,2024-06-12,Biosolids,NA
RD143,1385283,Biosolids,BS,US,NA,2024-06-12,Biosolids,NA
RD144,1385284,Biosolids,BS,US,NA,2024-06-12,Biosolids,NA
RD145,1385285,Tap water,NA,NA,NA,,Water,NA
RD146,1385286,Tap water,NA,NA,NA,,Water,NA
RD147,1385287,Tap water,NA,NA,NA,,Water,NA
RD148,1385288,SPL2-RW,RW,SL2,NA,,Water,NA
RD149,1385289,SPL2-RW,RW,SL2,NA,,Water,NA
RD150,1385290,SPL2-RW,RW,SL2,NA,,Water,NA
RD151,1385291,SL1-RW,RW,SL1,NA,,Water,NA
RD152,1385292,SL1-RW,RW,SL1,NA,,Water,NA
RD153,1385293,SL1-RW,RW,SL1,NA,,Water,NA
RD154,1385294,RW,RW,US,NA,,Water,NA
RD155,1385295,RW,RW,US,NA,,Water,NA
RD156,1385296,RW,RW,US,NA,,Water,NA
