ID,Sample_ID,Spiking_level,Amendment,species,Sample_Treatment,Study_ID,Sampling_Date,Study_Name,Sample_Type,Date_Received YYYY-MM-DD,Notes,Illumina Plate Number,GPrep Plate #:,GPrep by hand,Sample Follow up,Follow up Date,Notebook Reference,pot_ID,16S PCR single colonies,16S Sequencing single colonies,Date Collected,Date Plated,Dilutions Aerobic,Dilutions Anaerobic,Dilutions Microaerophilic,Freezer Location original sample,Freezer Location Plate Pools,Genomic Prep Original Sample,Genomic Prep Single Colonies,Illumina Sequecing Original Sample,Illumina Sequencing Plate Pools,MAC ID #,MALDI TOF single colonies,Microaerophilic Media,Number of Isolates,TRFLP original sample,TRFLP Plate Pools,Type of Media Aerobic,Type of Media Anaerobic,Types,Work Up,Isolates::Box Name,Isolates::Box Slot,Isolates::Column,Isolates::Isolation Media,Isolates::MacID,Isolates::Plate,Isolates::Putative ID,Isolates::Row
1385151,38-SL1-BS-P,SL-1,BS,P,BS-1,RD11,2024-08-26,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,535,,,,MF Notebook # 13 p.80,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385223,38-SL1-BS-P,SL-1,BS,P,BS-1,RD83,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385152,39-SL1-BS-P,SL-1,BS,P,BS-1,RD12,2024-08-26,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,535,,,,MF Notebook # 13 p.80,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385224,39-SL1-BS-P,SL-1,BS,P,BS-1,RD84,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385180,40-SL1-BS-R,SL-1,BS,R,BS-1,RD40,2024-08-06,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,535,,,,MF Notebook # 13 p.80,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385243,40-SL1-BS-R,SL-1,BS,R,BS-1,RD103,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385181,41-SL1-BS-R,SL-1,BS,R,BS-1,RD41,2024-08-06,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,535,,,,MF Notebook # 13 p.80,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385244,41-SL1-BS-R,SL-1,BS,R,BS-1,RD104,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385182,42-SL1-BS-R,SL-1,BS,R,BS-1,RD42,2024-08-06,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,535,,,,MF Notebook # 13 p.80,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385245,42-SL1-BS-R,SL-1,BS,R,BS-1,RD105,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385201,43-SL1-BS-L,SL-1,BS,L,BS-1,RD61,2024-08-18,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385264,43-SL1-BS-L,SL-1,BS,L,BS-1,RD124,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385202,44-SL1-BS-L,SL-1,BS,L,BS-1,RD62,2024-08-18,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385265,44-SL1-BS-L,SL-1,BS,L,BS-1,RD125,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385203,45-SL1-BS-L,SL-1,BS,L,BS-1,RD63,2024-08-18,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385266,45-SL1-BS-L,SL-1,BS,L,BS-1,RD126,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385153,46-SL2-BS-P,SL-2,BS,P,BS-2,RD13,2024-08-26,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,535,,,,MF Notebook # 13 p.80,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385225,46-SL2-BS-P,SL-2,BS,P,BS-2,RD85,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385154,47-SL2-BS-P,SL-2,BS,P,BS-2,RD14,2024-08-26,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,535,,,,MF Notebook # 13 p.80,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385226,47-SL2-BS-P,SL-2,BS,P,BS-2,RD86,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385155,48-SL2-BS-P,SL-2,BS,P,BS-2,RD15,2024-08-26,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,535,,,,MF Notebook # 13 p.80,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385227,48-SL2-BS-P,SL-2,BS,P,BS-2,RD87,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385183,49-SL2-BS-R,SL-2,BS,R,BS-2,RD43,2024-08-06,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,535,,,,MF Notebook # 13 p.80,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385246,49-SL2-BS-R,SL-2,BS,R,BS-2,RD106,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385184,50-SL2-BS-R,SL-2,BS,R,BS-2,RD44,2024-08-06,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,535,,,,MF Notebook # 13 p.80,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385247,50-SL2-BS-R,SL-2,BS,R,BS-2,RD107,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385185,51-SL2-BS-R,SL-2,BS,R,BS-2,RD45,2024-08-06,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,535,,,,MF Notebook # 13 p.80,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385248,51-SL2-BS-R,SL-2,BS,R,BS-2,RD108,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385204,52-SL2-BS-L,SL-2,BS,L,BS-2,RD64,2024-08-18,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385267,52-SL2-BS-L,SL-2,BS,L,BS-2,RD127,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385205,53-SL2-BS-L,SL-2,BS,L,BS-2,RD65,2024-08-18,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385268,53-SL2-BS-L,SL-2,BS,L,BS-2,RD128,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385206,54-SL2-BS-L,SL-2,BS,L,BS-2,RD66,2024-08-18,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385269,54-SL2-BS-L,SL-2,BS,L,BS-2,RD129,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385276,ASBS_rep1,NA,BS,NA,Autoclaved soil w BS,RD136,2024-07-02,Fate of Contaminants,Source,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,ASBS_rep1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385277,ASBS_rep2,NA,BS,NA,Autoclaved soil w BS,RD137,2024-07-02,Fate of Contaminants,Source,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,ASBS_rep2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385278,ASBS_rep3,NA,BS,NA,Autoclaved soil w BS,RD138,2024-07-02,Fate of Contaminants,Source,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,ASBS_rep3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385282,BS_rep1,NA,BS,NA,Biosolids,RD142,2024-06-12,Fate of Contaminants,Source,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,BS_rep1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385283,BS_rep2,NA,BS,NA,Biosolids,RD143,2024-06-12,Fate of Contaminants,Source,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,BS_rep2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385284,BS_rep3,NA,BS,NA,Biosolids,RD144,2024-06-12,Fate of Contaminants,Source,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,BS_rep3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385144,BS1,NA,BS,NA,GH: Soil + BS,RD4,2024-09-01,Fate of Contaminants,GH: Soil controls,2024-12-09,,LR527,535,,,,MF Notebook # 13 p.80,BS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385145,BS2,NA,BS,NA,GH: Soil + BS,RD5,2024-09-01,Fate of Contaminants,GH: Soil controls,2024-12-09,,LR527,535,,,,MF Notebook # 13 p.80,BS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385146,BS3,NA,BS,NA,GH: Soil + BS,RD6,2024-09-01,Fate of Contaminants,GH: Soil controls,2024-12-09,,LR527,535,,,,MF Notebook # 13 p.80,BS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385165,55-C-P,SL-0,control,P,control-0,RD25,2024-08-19,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,535,,,,MF Notebook # 13 p.80,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385228,55-C-P,SL-0,control,P,control-0,RD88,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385166,56-C-P,SL-0,control,P,control-0,RD26,2024-08-19,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,535,,,,MF Notebook # 13 p.80,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385229,56-C-P,SL-0,control,P,control-0,RD89,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385167,57-C-P,SL-0,control,P,control-0,RD27,2024-08-19,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,535,,,,MF Notebook # 13 p.80,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385230,57-C-P,SL-0,control,P,control-0,RD90,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385186,58-C-R,SL-0,control,R,control-0,RD46,2024-08-06,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,535,,,,MF Notebook # 13 p.80,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385249,58-C-R,SL-0,control,R,control-0,RD109,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385187,59-C-R,SL-0,control,R,control-0,RD47,2024-08-06,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,535,,,,MF Notebook # 13 p.80,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385250,59-C-R,SL-0,control,R,control-0,RD110,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385188,60-C-R,SL-0,control,R,control-0,RD48,2024-08-06,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,535,,,,MF Notebook # 13 p.80,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385251,60-C-R,SL-0,control,R,control-0,RD111,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385207,61-C-L,SL-0,control,L,control-0,RD67,2024-08-18,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385270,61-C-L,SL-0,control,L,control-0,RD130,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385208,62-C-L,SL-0,control,L,control-0,RD68,2024-08-18,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385271,62-C-L,SL-0,control,L,control-0,RD131,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385209,63-C-L,SL-0,control,L,control-0,RD69,2024-08-18,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385272,63-C-L,SL-0,control,L,control-0,RD132,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385273,AS_rep1,NA,NA,NA,Autoclaved soil,RD133,2024-07-02,Fate of Contaminants,Source,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,AS_rep1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385274,AS_rep2,NA,NA,NA,Autoclaved soil,RD134,2024-07-02,Fate of Contaminants,Source,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,AS_rep2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385275,AS_rep3,NA,NA,NA,Autoclaved soil,RD135,2024-07-02,Fate of Contaminants,Source,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,AS_rep3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385279,GS_rep1,NA,NA,NA,Garden Soil,RD139,2024-08-02,Fate of Contaminants,Source,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,GS_rep1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385280,GS_rep2,NA,NA,NA,Garden Soil,RD140,2024-08-02,Fate of Contaminants,Source,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,GS_rep2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385281,GS_rep3,NA,NA,NA,Garden Soil,RD141,2024-08-02,Fate of Contaminants,Source,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,GS_rep3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385141,S1,NA,NA,NA,GH: Soil only,RD1,2024-09-01,Fate of Contaminants,GH: Soil controls,2024-12-09,,LR527,535,,,,MF Notebook # 13 p.80,S1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385142,S2,NA,NA,NA,GH: Soil only,RD2,2024-09-01,Fate of Contaminants,GH: Soil controls,2024-12-09,,LR527,535,,,,MF Notebook # 13 p.80,S2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385143,S3,NA,NA,NA,GH: Soil only,RD3,2024-09-01,Fate of Contaminants,GH: Soil controls,2024-12-09,,LR527,535,,,,MF Notebook # 13 p.80,S3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385285,TW_rep1,NA,NA,NA,Tap water,RD145,,Fate of Contaminants,Source,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,TW_rep1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385286,TW_rep2,NA,NA,NA,Tap water,RD146,,Fate of Contaminants,Source,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,TW_rep2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385287,TW_rep3,NA,NA,NA,Tap water,RD147,,Fate of Contaminants,Source,2024-12-09,,LR531,553,,,,MF Notebook # 13 p.80,TW_rep3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385159,10-SL1-RW-P,SL-1,RW,P,RW-1,RD19,2024-08-19,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,535,,,,MF Notebook # 13 p.80,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385213,10-SL1-RW-P,SL-1,RW,P,RW-1,RD73,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385160,11-SL1-RW-P,SL-1,RW,P,RW-1,RD20,2024-08-19,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,535,,,,MF Notebook # 13 p.80,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385214,11-SL1-RW-P,SL-1,RW,P,RW-1,RD74,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385161,12-SL1-RW-P,SL-1,RW,P,RW-1,RD21,2024-08-19,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,535,,,,MF Notebook # 13 p.80,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385215,12-SL1-RW-P,SL-1,RW,P,RW-1,RD75,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385171,13-SL1-RW-R,SL-1,RW,R,RW-1,RD31,2024-08-06,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,535,,,,MF Notebook # 13 p.80,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385234,13-SL1-RW-R,SL-1,RW,R,RW-1,RD94,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385172,14-SL1-RW-R,SL-1,RW,R,RW-1,RD32,2024-08-06,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,535,,,,MF Notebook # 13 p.80,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385235,14-SL1-RW-R,SL-1,RW,R,RW-1,RD95,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385173,15-SL1-RW-R,SL-1,RW,R,RW-1,RD33,2024-08-06,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,535,,,,MF Notebook # 13 p.80,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385236,15-SL1-RW-R,SL-1,RW,R,RW-1,RD96,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385192,16-SL1-RW-L,SL-1,RW,L,RW-1,RD52,2024-08-18,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,535,,,,MF Notebook # 13 p.80,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385255,16-SL1-RW-L,SL-1,RW,L,RW-1,RD115,2024-07-11,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,543,,,,MF Notebook # 13 p.80,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385193,17-SL1-RW-L,SL-1,RW,L,RW-1,RD53,2024-08-18,Fate of Contaminants,Experimental soil,2024-12-09,,LR527,535,,,,MF Notebook # 13 p.80,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
