"contam","species","response","SE","df","lower.CL","upper.CL","null","t.ratio","p.value","trait","rate","asymp.LCL","asymp.UCL","z.ratio"
"control","lettuce",1.02841313077586,0.397527767194849,18,0.456537897585549,2.31663915119777,1,0.0724805071290015,0.94301883673236,"dry_root_weight",NA,NA,NA,NA
"RW","lettuce",0.779758083496025,0.301411447022713,18,0.346153802797176,1.75651015203105,1,-0.643577522521129,0.527964759355955,"dry_root_weight",NA,NA,NA,NA
"BS","lettuce",0.517942586770436,0.200208023305423,18,0.229927460626455,1.16673546717536,1,-1.70197826324857,0.10596729233384,"dry_root_weight",NA,NA,NA,NA
"control","pea",0.21890576542451,0.0846168894106149,18,0.0971776564549164,0.493114733203328,1,-3.92998137112156,0.000981597987314408,"dry_root_weight",NA,NA,NA,NA
"RW","pea",0.309420368157415,0.119604840114623,18,0.137359316136076,0.69701107230196,1,-3.03471798115334,0.00712596300307891,"dry_root_weight",NA,NA,NA,NA
"BS","pea",0.110040252210893,0.0425354893416743,18,0.048849576002831,0.247880495542791,1,-5.70932255229794,2.05496129299179e-05,"dry_root_weight",NA,NA,NA,NA
"control","radish",1.50088187339216,0.580158111655662,18,0.666278399698944,3.38093865701639,1,1.05046771110078,0.307402749004693,"dry_root_weight",NA,NA,NA,NA
"RW","radish",2.49705441382619,0.96522344570172,18,1.10850390580377,5.62495153419209,1,2.36741448454645,0.0293196552862812,"dry_root_weight",NA,NA,NA,NA
"BS","radish",1.20174283510949,0.46452746633357,18,0.533483218913664,2.70708766562105,1,0.475424470414496,0.640202795875839,"dry_root_weight",NA,NA,NA,NA
"control","lettuce",9.48967207137334,2.8113775445098,18,5.09261847480297,17.6832166925066,1,7.59545747772764,5.09032411552837e-07,"shoot_root_ratio",NA,NA,NA,NA
"RW","lettuce",18.5653466189001,5.50010560932516,18,9.96306579104466,34.5949833423479,1,9.86069918316009,1.10780701073366e-08,"shoot_root_ratio",NA,NA,NA,NA
"BS","lettuce",22.4679360519716,6.65627330564372,18,12.0573846354633,41.8671350129063,1,10.5047101527989,4.16417948362516e-09,"shoot_root_ratio",NA,NA,NA,NA
"control","pea",18.6424062074599,5.52293501746875,18,10.0044197052167,34.7385774931773,1,9.87468075164855,1.08400374408892e-08,"shoot_root_ratio",NA,NA,NA,NA
"RW","pea",19.5142407197901,5.78122170557124,18,10.4722884061655,36.3631687841712,1,10.0289578552707,8.54207325713909e-09,"shoot_root_ratio",NA,NA,NA,NA
"BS","pea",30.2389968968837,8.95850101088871,18,16.2277129386931,56.3478622517082,1,11.5073652740885,9.88005489985278e-10,"shoot_root_ratio",NA,NA,NA,NA
"control","radish",4.54016569564583,1.34505384265035,18,2.43647320227858,8.46022214594516,1,5.10693683850934,7.37014302678499e-05,"shoot_root_ratio",NA,NA,NA,NA
"RW","radish",2.75370713556232,0.815803786142416,18,1.47777285951378,5.13130481428775,1,3.41915829437504,0.00305889161758775,"shoot_root_ratio",NA,NA,NA,NA
"BS","radish",6.20458721372067,1.83814962565746,18,3.3296825470332,11.5617335733605,1,6.16117641374968,8.11517805073907e-06,"shoot_root_ratio",NA,NA,NA,NA
"control","lettuce",10.8915510314391,2.74045278542702,18,6.419682385665,18.4784661832074,1,9.49072586329352,1.98406281330238e-08,"dry_total_weight",NA,NA,NA,NA
"RW","lettuce",15.2789412149805,3.84437596537951,18,9.00569161419621,25.922056256383,1,10.8360001980977,2.56041879651615e-09,"dry_total_weight",NA,NA,NA,NA
"BS","lettuce",12.185222793741,3.06595705696693,18,7.18219654010532,20.6732931498039,1,9.93679479422661,9.84546818764857e-09,"dry_total_weight",NA,NA,NA,NA
"control","pea",4.31313674325649,1.08524006983632,18,2.54224287227065,7.31761263604742,1,5.8091873065667,1.66975800248909e-05,"dry_total_weight",NA,NA,NA,NA
"RW","pea",6.34823344071911,1.59729628635463,18,3.74176664846321,10.7703316652352,1,7.34532249504218,8.0866749944704e-07,"dry_total_weight",NA,NA,NA,NA
"BS","pea",3.46184178705248,0.871043429962434,18,2.04047382031716,5.87331650092917,1,4.93536556259568,0.000106802305905165,"dry_total_weight",NA,NA,NA,NA
"control","radish",8.42042699099771,2.11868654293175,18,4.96315599842932,14.285988740463,1,8.46801598225807,1.08044899323361e-07,"dry_total_weight",NA,NA,NA,NA
"RW","radish",9.67801242367915,2.4351110349032,18,5.70440020022848,16.4195921017492,1,9.02123130981158,4.25239630354702e-08,"dry_total_weight",NA,NA,NA,NA
"BS","radish",8.68360387147432,2.18490519379977,18,5.11827733780817,14.7324912699973,1,8.59033132673258,8.76284309929728e-08,"dry_total_weight",NA,NA,NA,NA
"control","lettuce",1.18830016002766,0.178928198962766,18,0.86604161733152,1.63047276489165,1,1.1457675120177,0.266896447621431,"per_plant_weight",NA,NA,NA,NA
"RW","lettuce",1.23972296183245,0.18667118311951,18,0.903518921417469,1.70103025588381,1,1.4271164139696,0.17066407463319,"per_plant_weight",NA,NA,NA,NA
"BS","lettuce",0.922584136114763,0.138918030493904,18,0.67238588720432,1.26588244103342,1,-0.535126991420299,0.599111552963743,"per_plant_weight",NA,NA,NA,NA
"control","pea",0.37578775982639,0.0565842110602958,18,0.273876794972291,0.515620319164403,1,-6.49995880831864,4.11498815074149e-06,"per_plant_weight",NA,NA,NA,NA
"RW","pea",0.370262199210587,0.0557522002245637,18,0.269849727053473,0.508038669007413,1,-6.59833584548684,3.38826269108761e-06,"per_plant_weight",NA,NA,NA,NA
"BS","pea",0.413220101957246,0.0622205829011245,18,0.301157752435731,0.566981428439224,1,-5.86933671390952,1.47440665267502e-05,"per_plant_weight",NA,NA,NA,NA
"control","radish",0.561361799399847,0.084527006821891,18,0.40912447630156,0.770247413877918,1,-3.83456734298836,0.00121416171176809,"per_plant_weight",NA,NA,NA,NA
"RW","radish",0.645200828245277,0.0971510617018895,18,0.470226957458434,0.88528337681531,1,-2.91013706214259,0.00933860632672849,"per_plant_weight",NA,NA,NA,NA
"BS","radish",0.578906924764955,0.0871688626321953,18,0.421911488589035,0.794321170683397,1,-3.63017675109288,0.00191425762091673,"per_plant_weight",NA,NA,NA,NA
"control","lettuce",24.1039187216136,3.95443226056896,18,17.0764803246516,34.0233400965787,1,19.3979033003953,1.63159274092799e-13,"shoot_moisture",NA,NA,NA,NA
"RW","lettuce",18.1631135078061,2.979797718254,18,12.8677023032087,25.6377311600675,1,17.6730119421504,8.05481505589604e-13,"shoot_moisture",NA,NA,NA,NA
"BS","lettuce",21.5356252097085,3.53308406256908,18,15.2569664883121,30.3981236065717,1,18.7111576380606,3.03202635673945e-13,"shoot_moisture",NA,NA,NA,NA
"control","pea",10.593369027954,1.73792322800568,18,7.50489826433996,14.9528299265072,1,14.386578391089,2.58690630405481e-11,"shoot_moisture",NA,NA,NA,NA
"RW","pea",11.52224436263,1.89031233252899,18,8.16296227292897,16.263962849913,1,14.8989057192007,1.44337848692634e-11,"shoot_moisture",NA,NA,NA,NA
"BS","pea",8.00712287675931,1.31362976219317,18,5.67266583667332,11.3022727954519,1,12.6804907025228,2.06620257579272e-10,"shoot_moisture",NA,NA,NA,NA
"control","radish",21.1142859634141,3.46396013598131,18,14.9584676660896,29.8033917441606,1,18.5907202242017,3.38729438335710e-13,"shoot_moisture",NA,NA,NA,NA
"RW","radish",20.9063761419642,3.42985093926827,18,14.8111734432582,29.5099213484831,1,18.5304019138216,3.58145090901068e-13,"shoot_moisture",NA,NA,NA,NA
"BS","radish",36.6137485402126,6.00676554215014,18,25.9390999355654,51.6813068107986,1,21.9460891563088,1.92771934950324e-14,"shoot_moisture",NA,NA,NA,NA
"control","lettuce",72.5548974264465,22.625252503173,18,37.6826461865733,139.698605944448,1,13.739077686538,5.54900582657704e-11,"germination_perc",NA,NA,NA,NA
"RW","lettuce",113.040381433805,35.2500970122328,18,58.7094854993582,217.650141642612,1,15.1609826967445,1.07802324294008e-11,"germination_perc",NA,NA,NA,NA
"BS","lettuce",44.6288633388113,13.9169006888038,18,23.1787753350522,85.9292785802312,1,12.1806874862894,3.96586010296206e-10,"germination_perc",NA,NA,NA,NA
"control","pea",71.074576139939,22.1636345548187,18,36.9138156146817,136.848366644136,1,13.6729731770238,6.00876200342429e-11,"germination_perc",NA,NA,NA,NA
"RW","pea",87.9999999999999,27.4415965138349,18,45.7043284745894,169.43690583498,1,14.3579707352464,2.67396370392085e-11,"germination_perc",NA,NA,NA,NA
"BS","pea",29.5054041565428,9.20085677092586,18,15.3241441289335,56.8102771101724,1,10.8536856600744,2.49557924036006e-09,"germination_perc",NA,NA,NA,NA
"control","radish",93.2169751786156,29.0684388760424,18,48.4138551473988,179.481770972281,1,14.5426606616648,2.16160922420023e-11,"germination_perc",NA,NA,NA,NA
"RW","radish",96.6382529781544,30.1353175685048,18,50.1907551968641,186.069165567233,1,14.6582495504621,1.89438651696158e-11,"germination_perc",NA,NA,NA,NA
"BS","radish",86.4458547174789,26.9569575619392,18,44.897156128117,166.444524381703,1,14.3008300105006,2.85719895947014e-11,"germination_perc",NA,NA,NA,NA
"control","lettuce",77.3999211789475,17.1693491543089,18,48.5670685979721,123.349997672238,1,19.6053532478195,1.35839120045805e-13,"survival_perc.corr",NA,NA,NA,NA
"RW","lettuce",103.704701439129,23.0044449765676,18,65.0728485508629,165.271159017614,1,20.9242297793138,4.40979330765174e-14,"survival_perc.corr",NA,NA,NA,NA
"BS","lettuce",82.1541430487913,18.2239612779012,18,51.5502579367422,130.926662449748,1,19.8740836708994,1.0741534390074e-13,"survival_perc.corr",NA,NA,NA,NA
"control","pea",46.9864152680958,10.4228293383161,18,29.4831366587891,74.8808800534394,1,17.3552732580926,1.0975107033476e-12,"survival_perc.corr",NA,NA,NA,NA
"RW","pea",69.5922553808314,15.4374024271529,18,43.66789771212,110.907148333973,1,19.1260033866513,2.08022285688793e-13,"survival_perc.corr",NA,NA,NA,NA
"BS","pea",19.9029305390847,4.41499627408472,18,12.488733555136,31.7187201003839,1,13.4829146259464,7.56761120185053e-11,"survival_perc.corr",NA,NA,NA,NA
"control","radish",76.0000000000001,16.8588096195943,18,47.6886430531644,121.118984106149,1,19.5230708032446,1.46049290972224e-13,"survival_perc.corr",NA,NA,NA,NA
"RW","radish",76.0000000000001,16.8588096195943,18,47.6886430531644,121.118984106149,1,19.5230708032446,1.46049290972224e-13,"survival_perc.corr",NA,NA,NA,NA
"BS","radish",76.0000000000001,16.8588096195943,18,47.6886430531644,121.118984106149,1,19.5230708032446,1.46049290972224e-13,"survival_perc.corr",NA,NA,NA,NA
"control",NA,7.294503149118,4.6300228449523,6,1.54341649300481,34.4753191595747,1,3.13066725527045,0.0203073733218612,"wet_pod_weight.corr",NA,NA,NA,NA
"RW",NA,15.483296956709,9.82767669836584,6,3.27605258378228,73.1772395340673,1,4.31643686121619,0.00500213039284372,"wet_pod_weight.corr",NA,NA,NA,NA
"BS",NA,6.49829023274611,4.12464449129517,6,1.37494879589779,30.71225348536,1,2.94857030396066,0.0256605246339325,"wet_pod_weight.corr",NA,NA,NA,NA
"control",NA,1.07037502550575,0.627112771365564,6,0.25522980204565,4.48890641313711,1,0.116079949459421,0.911376899799611,"dry_pod_weight.corr",NA,NA,NA,NA
"RW",NA,2.37292283590211,1.39025124876777,6,0.565820961107285,9.95149203049419,1,1.47491032195247,0.190682444338956,"dry_pod_weight.corr",NA,NA,NA,NA
"BS",NA,1.12059975198344,0.656538502218746,6,0.267205835390262,4.69953735221122,1,0.194346574881226,0.852317760529344,"dry_pod_weight.corr",NA,NA,NA,NA
"control",NA,NA,1.79505491724261,Inf,NA,NA,1,NA,2.51494003368015e-34,"pods",9.66666666666665,6.71757596616166,13.9104410452744,12.2172348909331
"RW",NA,NA,2.26077666104175,Inf,NA,NA,1,NA,1.53540091411205e-76,"pods",15.3333333333333,11.4850729047855,20.4710159926932,18.515958272779
"BS",NA,NA,1.76383415884005,Inf,NA,NA,1,NA,3.11148619477274e-32,"pods",9.33333333333334,6.44428604982469,13.5175736206621,11.8190594221033
"control",NA,NA,0.942809041582064,Inf,NA,NA,1,NA,0.00553369550673539,"flowers",2.66666666666667,1.33359371660163,5.3322920036188,2.77420406396291
"RW",NA,NA,1.2018504230018,Inf,NA,NA,1,NA,1.24370239518592e-07,"flowers",4.33333333333334,2.51617745349691,7.4628193459412,5.28695349811873
"BS",NA,NA,0.745355992499911,Inf,NA,NA,1,NA,0.253353933026602,"flowers",1.66666666666667,0.693713022106227,4.00421743467347,1.14224081938952
