"contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value","trait","amend"
"quadratic",-0.248941515748955,0.494186635779069,6,-1.45817265151422,0.960289620016311,-0.503739878267867,0.632400999081863,"dry_shoot_weight","BS"
"linear",0.583639938435119,0.455258306492257,6,-0.530337007052972,1.69761688392321,1.28199734109639,0.24714865516501,"wet_root_weight","BS"
"quadratic",-1.43131210440392,0.788530517412353,6,-3.36077677244968,0.498152563641838,-1.81516386848403,0.119417718950118,"wet_root_weight","BS"
"linear",0.26422511101577,0.211617039195548,6,-0.253583130096026,0.782033352127566,1.24860035855434,0.258320762478831,"dry_root_weight","BS"
"quadratic",-0.502800791047353,0.366531463633984,6,-1.39967097323086,0.394069391136153,-1.37178070898014,0.219213724754306,"dry_root_weight","BS"
"linear",-0.130938309441684,0.244440001561477,6,-0.729061446156357,0.467184827272989,-0.535666456411606,0.611453304092961,"dry_total_weight","BS"
"quadratic",-0.269866498055009,0.423382502106694,6,-1.30584616002729,0.766113163917271,-0.637405884069819,0.547397060730382,"dry_total_weight","BS"
"linear",-0.550633202280167,0.11470933954766,6,-0.83131684465635,-0.269949559903985,-4.80024734212149,0.00299998695570521,"shoot_root_ratio","BS"
"quadratic",0.253859275298397,0.198682404199218,6,-0.232299054150644,0.740017604747437,1.27771392902944,0.248557328564623,"shoot_root_ratio","BS"
"linear",0.0177402179669487,0.136731465262223,6,-0.316829624807602,0.352310060741499,0.129744956165916,0.901008561482539,"shoot_moisture","BS"
"quadratic",-0.33698551836248,0.23682584482751,6,-0.916477484728333,0.242506448003373,-1.4229254353887,0.204607932123194,"shoot_moisture","BS"
